台湾smt,#genre#
中天综合 CTI Metro,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ctizhonghe/playlist.m3u8
中天亚洲台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ctiasia_twn/playlist.m3u8
台视 TTV HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ttv_taiwan/playlist.m3u8
台视新闻台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ttvnews_twn/playlist.m3u8
台视综合台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ttvzhonghe_twn/playlist.m3u8
中视 HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/zhongshihd_twn/playlist.m3u8
中视新闻台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/zhongshinews_twn/playlist.m3u8
民视 HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ftvhd_taiwan/playlist.m3u8
民视新闻台 FTV News,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ftvnew_taiwan/playlist.m3u8
民视台湾台,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ftvtaiwan_twn/playlist.m3u8
华视 CTS HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ctshd_twn/playlist.m3u8
公视 CTV,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/ctv_taiwan/playlist.m3u8
八大第一 GTV First,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/badafirst/playlist.m3u8
八大综合 GTV Metro,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/badazhonghe/playlist.m3u8
八大戏剧 GTV Drama,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/badadrama/playlist.m3u8
八大娱乐 GTV Entertainment,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/badaentertain/playlist.m3u8
HBO_HD,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/hbohd_twn/playlist.m3u8
HBO_HITS,http://wanjiatv.net/ydmt/smrt.php?playurl=http://50.7.234.10:8278/hbohits_twn/playlist.m3u8
