綜合,#genre#
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
RTHK34*頻道,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
RTHK33*頻道,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
RTHK33*頻道,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
環球電視,http://zb.xzxwhcb.com:9999/hls/world.m3u8
麪包,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
民視,rtmp://f13h.mine.nu/sat/tv051
野生頻道,http://mywlkj.ddns.net:754/tv/tw3.php?id=15
中視,rtmp://f13h.mine.nu/sat/tv091
台視,rtmp://f13h.mine.nu/sat/tv071
華視,rtmp://f13h.mine.nu/sat/tv111
港臺電視34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8?$720P
RTHK34*頻道,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8
港臺電視35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream04/streamPlaylist.m3u8?$720P
RTHK34*頻道,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
番薯音樂,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
港臺電視32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8?$1080P
港臺電視34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8?$1080P
港臺電視35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8?$1080P
港臺電視33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?$1080P
RTHK35*頻道,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
澳門衛視,https://live.mastvnet.com/lsdream/MSTV/1500/live.m3u8
澳門衛星,http://61.244.22.5/ch3/ch3.live/chunklist_w1228316132.m3u8
澳亞衛視,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
澳視澳門,http://61.244.22.5/ch1/ch1.live/index.m3u8
澳門蓮花,http://php.jdshipin.com:8880/amlh.php
三立戲劇,http://mywlkj.ddns.net:754/tv/tw3.php?id=6
台灣-民視新聞,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
八大一,http://mywlkj.ddns.net:754/tv/tw3.php?id=13
GOOD卡通,https://dqhxk7sbp7xog.cloudfront.net/osmflivech45.m3u8
